date, text, major_direction, voting, minor_direction
20011108, 2001연 11월중 통화정책방향 실물경제는 9월중 산업생산이 증가로 돌아선 가운데 민간소비 및 건설투자의 신장세가 확대되고 설비투자의 감소세가 완화되는 등 내수를 중심으로 다소 호전되는 모습을 보였으나 불확실성은 계속 남아 있음 10월중 소비자물가는 농산물가격이 큰 폭으로 하락하였으나 집세 등 서비스요금이 비교적 높은 오름세를 보여 전년동월대비 36 상승하였음 금융시장은 경기부진 지속에 따른 기업의 수익성 악화 등으로 기업 신용위험에 대한 우려가 높아지고 있으나 시중유동성이 풍부한 가운데 기업자금수급사정이 대체로 원활하고 주가가 상승세를 나타내면서 환율이 다소 하락하는 등 전반적으로 안정세를 유지하였음 경기전망이 여전히 불투명한 상황이지만 그동안 시행된 경기활성화대책의 효과를 좀더 지켜볼 필요가 있으므로 11월중 통화정책은 콜금리를 현 수준에서 유지하는 방향으로 운용함 향후 통화정책은 미국 등 세계경제의 동반 침체 가능성 등 대내외 여건의 불확실성이 큰 만큼 경기 물가 및 금융시장 동향 등을 예의주시하면서 탄력적으로 운용해 나갈 것임, freeze, unanimous, 
20011206, 2001연 12월중 통화정책방향 실물경제는 10월중 산업생산이 추석요인 등으로 감소를 나타내었으나 소비 및 건설투자의 증가세가 지속되는 가운데 설비투자의 감소세도 둔화되는 등 내수부문을 중심으로 개선되는 기미를 보였음 11월중 소비자물가는 농산물 및 석유류제품 가격 하락에 힘입어 전년동월대비 상승률이 34전월비 05로 낮아져 6월 이후의 둔화세가 이어졌으나 근원 인플레이션율은 집세 등 서비스가격 상승 등으로 전월보다 다소 높은 40전월비 01를 나타내었음 금융시장은 경기회복기대로 장기금리 및 주가가 상승하고 환율이 하락하는 가운데 이들 가격변수의 변동폭이 확대되고 금리상승으로 채권시장으로의 자금유입이 다소 위축되는 모습을 보였으나 풍부한 시중유동성을 바탕으로 기업자금수급이 원활히 이루어지는 등 대체로 안정세를 지속하였음 경기전망에 대한 불확실성은 계속 남아 있으나 대외여건이 다소 개선되고 그동안 시행된 경기활성화대책의 효과가 점차 나타나고 있으므로 12월중 통화정책은 콜금리를 현 수준에서 유지하는 방향으로 운용함 향후 통화정책은 대외여건과 국내경기 물가 및 금융시장 상황 등을 예의주시하면서 신축적으로 운용해 나갈 것임, freeze, unanimous, 
20020110, 2002연 1월중 통화정책방향 실물경제는 지난해 11월중 산업생산이 증가한 가운데 소비 및 건설투자가 착실한 신장세를 이어가고 설비투자도 증가로 전환되는 등 개선추세를 보였음 12월중 소비자물가는 석유류제품 가격이 하락하였으나 농축수산물 가격 및 집세 등이 올라 전년동월대비 32전월비 02 상승하였으며 근원 인플레이션율은 39전월비 04를 나타내었음 금융시장은 금리주가환율 등 가격변수의 변동폭이 확대되고 회사채가 계속 순상환되었으나 시중유동성이 풍부한 가운데 기업의 자금수요가 크지 않아 기업자금수급사정이 비교적 원활한 모습을 보이는 등 안정세를 지속하였음 대내외 여건의 불확실성은 여전히 남아 있으나 실물경제의 개선추세가 이어지고 있으므로 1월중 통화정책은 콜금리를 현 수준에서 유지하는 방향으로 운용함 향후 통화정책은 대외여건과 국내경기 물가 및 금융시장 상황 등을 예의주시하면서 신축적으로 운용해 나갈 것임, freeze, unanimous, 
20020207, 2002연 2월중 통화정책방향 실물경제는 수출이 계속 부진하였으나 지난해 12월중 소비 및 건설투자의 신장세가 확대되고 설비투자도 증가세를 이어가는 가운데 산업생산이 전월에 이어 증가하는 등 전반적으로 개선되는 모습을 보였음 1월중 소비자물가는 농축수산물 가격 및 집세 등을 중심으로 전년동월대비 26전월대비 06 상승하였으며 근원 인플레이션은 29전월대비 03 상승하였음 금융외환시장은 국내외 경기회복기대와 외국인 주식투자자금 유출입 및 엔화환율 추이 등에 따라 금리주가환율 등 가격변수가 등락하였으나 시중유동성이 풍부한 가운데 기업자금사정이 호조를 지속하는 등 전반적으로 안정을 유지하였음 우리경제를 둘러싼 대내외 여건의 불확실성은 여전히 남아 있으나 실물경제의 개선추세 및 금융시장의 안정세가 대체로 이어질 것으로 예상되므로 2월중 통화정책은 콜금리를 현 수준에서 유지하는 방향으로 운용함 향후 통화정책은 대외여건과 국내경기 물가 금융시장 및 자산시장 상황 등을 예의주시하면서 신축적으로 운용해 나갈 것임, freeze, unanimous, 
20020307, 2002연 3월중 통화정책방향 실물경제는 수출이 감소세에서 벗어나지 못하고 있으나 소비 및 건설투자의 견실한 신장세가 이어지고 설비투자도 증가하는 가운데 1월중 산업생산이 호조를 지속하는 등 회복세가 점차 가시화되는 모습을 보이고 있음 2월중 소비자물가는 농축수산물 가격과 공업제품가격 등이 올라 전년동월대비 26전월대비 05 상승하였으며 근원인플레이션은 전월과 비슷한 전년동월대비 30전월대비 03 상승하였음 금융외환시장은 원달러 환율 및 장단기시장금리가 대체로 안정세를 보인 가운데 기업자금수급사정은 더욱 원활한 모습을 나타내었음 한편 가계신용이 계속 크게 늘어나고 경기회복 기대가 높아지면서 부동산 등 자산가격의 상승세와 시중자금의 단기화현상이 지속되었음 경기는 내수를 중심으로 회복추세가 이어질 것으로 예상되나 수출환경의 불확실성이 남아 있는 점을 감안하여 3월중 통화정책은 콜금리를 현 수준에서 유지하는 방향으로 운용함 향후 통화정책은 앞으로의 경기회복속도 물가동향 대외여건 변화 등을 예의주시하면서 신축적으로 운용해 나갈 것임 이와 함께 부동산가격 상승이 인플레 기대심리로 이어지지 않도록 다각적인 부동산시장 안정대책이 강구되어야 할 필요가 있음, freeze, unanimous, 
20020404, 2002연 4월중 통화정책방향 현재 실물경제는 소비 및 건설활동의 호조로 회복세를 지속하고 있으나 설비투자 및 수출이 부진상태에 있어 경기회복의 충분한 부역이 확인되지 않고 있으며 물가는 안정세를 보이고 있음 이와 같은 경기 및 물가상황을 감안하여 4월중 통화정책은 콜금리를 현 수준에서 유지하는 방향으로 운용함 그러나 가계대출이 계속 늘어나는 가운데 주가 및 부동산 등 자산가격의 상승세가 지속되고 있으며 최근 국제유가도 불안한 움직임을 보이고 있는 점 등을 감안할 때 수출과 설비투자가 회복세를 나타낼 경우 물가상승압력이 커질 우려가 있음 따라서 향후 통화정책을 운용함에 있어서 수출 및 설비투자의 회복속도 자산가격의 움직임과 물가동향 등을 예의주시할 것임, freeze, unanimous, 
20020507, 2002연 5월중 통화정책방향 실물경제는 소비 및 건설투자의 호조가 지속되는 가운데 수출이 증가로 돌아서고 설비투자도 개선기미를 보이는 등 경기회복세가 더욱 뚜렷해지는 모습을 나타냄 물가는 아직 안정세를 유지하고 있으나 국제유가 및 부동산가격 상승 등 불안요인이 잠재하고 있는 데다 경기회복과 함께 수요면에서의 상승압력도 점차 증대되어 하반기에는 물가상승률이 높아질 것으로 예상됨 특히 저금리를 배경으로 가계대출이 크게 늘어남에 따라 통화증가세가 확대되고 있어 앞으로 과잉유동성의 우려가 있음 이와 같은 우리경제의 현 상황에 비추어 볼 때 과잉유동성을 미연에 방지하고 물가안정기조를 다지기 위해서는 통화정책면에서 미조정이 필요한 것으로 판단됨 따라서 5월중 통화정책은 콜금리 목표를 현재의 40에서 425로 소폭 상향조정하여 운영함, rise, unanimous, 
20020605, 2002연 6월중 통화정책방향 실물경제는 소비와 건설투자의 호조가 이어지는 가운데 수출과 설비투자의 회복 움직임도 가시화되는 등 상승세가 더욱 뚜렷해지고 있음 5월들어 전년동월대비 소비자물가 상승률은 전월의 25에서 30로 높아졌으나 이는 주로 농축수산물의 공급차질 등 이례적인 요인에 기인한 것임 전년동월대비 근원인플레이션율은 전월과 같은 30전월대비 03를 유지하였음 앞으로 경기회복 추세에 따라 수요면에서의 물가상승압력이 점차 커질 것으로 보이나 최근 원달러 환율의 큰 폭 하락과 국제유가의 안정 등으로 비용면에서의 상승압력은 완화될 것으로 예상됨 또한 미국경제의 회복 속도 및 국제 반도체 가격 전망의 불투명 등으로 수출환경면에서도 여전히 불확실성이 남아 있음 이러한 경제상황을 종합적으로 감안하여 6월중 통화정책은 콜금리 목표를 현수준에서 유지하는 방향으로 운영함, freeze, unanimous, 
20020704, 2002연 7월중 통화정책방향 실물경제는 5월중 산업생산이 높은 증가세를 유지하는 가운데 설비투자의 회복 움직임도 지속되었음 o 앞으로 소비와 건설투자 증가율이 낮아지겠지만 수출 및 설비투자가 회복세를 지속하여 국내경기는 상승기조가 이어질 것으로 전망됨 물가는 6월중 소비자물가가 계절적인 출하 증가에 힘입어 농산물 가격이 큰 폭으로 하락함에 따라 전년동월대비 상승률이 전월의 30에서 26로 둔화되었으나 근원 인플레이션율은 29로 전월30과 비슷한 수준을 나타내었음 o 앞으로 물가는 원달러 환율 하락의 영향과 국제유가의 안정 전망 등에 비추어 비용면에서의 상승압력이 다소 완화될 것으로 보이나 경기상승에 따른 수요압력 증대 및 임금 상승 등으로 오름세가 점차 확대될 우려가 있음 최근 미국을 비롯한 주요국 금융시장의 불안 등으로 국내에서도 주가금리환율이 동시에 큰 폭으로 하락함에 따라 이러한 금융시장의 불안정성이 경제전반에 미치는 영향을 지켜볼 필요가 있다는 점에서 7월중 통화정책은 콜금리 목표를 현수준에서 유지하는 방향으로 운영함, freeze, unanimous, 
20020806, 2002연 8월중 통화정책방향 6월중에는 소비 설비투자 생산 등 실물경제활동이 둔화되었으나 이는 지방선거 월드컵 경기 자동차 업계의 파업 등 일시적 요인에 크게 기인하였으며 7월 들어 수출 신장세가 높아지고 반도체 자동차 등을 중심으로 제조업 생산 증가세도 확대된 것으로 나타나 경기 상승세가 이어지고 있는 것으로 판단됨 7월중 소비자물가 상승률전년동월대비은 농산물 가격의 큰 폭 하락에 힘입어 전월에 이어 2개월 연속 둔화되었으나 근원 인플레이션율은 전월29과 비슷한 30를 나타내었음 금융시장은 국내 주가 및 원달러 환율이 하락세를 지속하는 가운데 미국 주가 및 달러화 가치 변동에 따라 불안정한 움직임을 보였으나 기업자금 수급은 계속 원활하였음 앞으로 국내경기의 회복기조가 이어질 것이나 미국 금융시장 불안의 영향으로 국내외 경제여건의 불확실성이 커진 만큼 8월중 통화정책은 콜금리 목표를 현 수준에서 유지하는 방향으로 운영하면서 정책환경 변화를 예의주시하기로 함, freeze, unanimous, 
